	date	time	mothermilk	milk	expressedmilk	small	big	sleep
0	2021-03-01	05:15:00						0
1	2021-03-01	05:30:00				1		
2	2021-03-01	05:55:00	6					
3	2021-03-01	06:25:00				1		
4	2021-03-01	08:00:00				1		
5	2021-03-01	08:20:00						1
6	2021-03-01	09:10:00						0
7	2021-03-01	10:05:00	3					
8	2021-03-01	11:30:00						1
9	2021-03-01	12:05:00						0
10	2021-03-01	12:15:00						1
11	2021-03-01	13:58:00						0
12	2021-03-01	14:05:00				1		
13	2021-03-01	14:15:00	6					
14	2021-03-01	15:25:00				1		
15	2021-03-01	16:00:00						1
16	2021-03-01	16:50:00						0
17	2021-03-01	18:00:00	9					
18	2021-03-01	19:05:00				1		
19	2021-03-01	19:20:00		200				
20	2021-03-01	19:30:00						1
21	2021-03-01	21:20:00						0
22	2021-03-01	21:25:00						1
23	2021-03-01	21:25:00	24					
24	2021-03-01	21:25:00				1		
25	2021-03-01	21:25:00					1	
26	2021-03-02	05:15:00						0
27	2021-03-02	05:30:00						1
28	2021-03-02	05:40:00						0
29	2021-03-02	05:50:00				1		
30	2021-03-02	05:55:00	7					
31	2021-03-02	08:05:00						1
32	2021-03-02	08:45:00						0
33	2021-03-02	09:00:00				1		
34	2021-03-02	10:05:00	5					
35	2021-03-02	11:15:00				1		
36	2021-03-02	11:50:00						1
37	2021-03-02	13:10:00						0
38	2021-03-02	13:30:00				1		
39	2021-03-02	14:05:00	4					
40	2021-03-02	14:55:00					1	
41	2021-03-02	16:05:00						1
42	2021-03-02	16:35:00						0
43	2021-03-02	16:55:00				1		
44	2021-03-02	17:05:00	8					
45	2021-03-02	19:30:00				1		
46	2021-03-02	19:40:00		200				
47	2021-03-02	19:54:00						1
48	2021-03-02	19:59:00						0
49	2021-03-02	20:01:00						1
50	2021-03-02	21:45:00						0
51	2021-03-02	21:53:00						1
52	2021-03-02	21:53:00	24					
53	2021-03-02	21:53:00				1		
54	2021-03-02	21:53:00					1	
55	2021-03-03	05:30:00						0
56	2021-03-03	06:05:00				1		
57	2021-03-03	06:10:00	9					
58	2021-03-03	08:25:00						1
59	2021-03-03	09:45:00						0
60	2021-03-03	09:50:00				1		
61	2021-03-03	10:15:00	5					
62	2021-03-03	11:40:00				1		
63	2021-03-03	11:54:00						1
64	2021-03-03	13:34:00						0
65	2021-03-03	14:05:00	6					
66	2021-03-03	16:25:00						1
67	2021-03-03	17:05:00						0
68	2021-03-03	17:10:00				1		
69	2021-03-03	17:40:00	7					
70	2021-03-03	19:45:00				1		
71	2021-03-03	19:55:00		200				
72	2021-03-03	20:10:00						1
73	2021-03-03	20:10:00	27					
74	2021-03-03	20:10:00				1		
75	2021-03-03	20:10:00					1	
76	2021-03-04	01:50:00						0
77	2021-03-04	02:15:00						1
78	2021-03-04	06:00:00						0
79	2021-03-04	06:15:00				1		
80	2021-03-04	06:35:00	5					
81	2021-03-04	08:05:00				1		
82	2021-03-04	08:15:00						1
83	2021-03-04	09:00:00						0
84	2021-03-04	10:35:00	7					
85	2021-03-04	11:25:00				1		
86	2021-03-04	11:35:00						1
87	2021-03-04	12:15:00						0
88	2021-03-04	12:20:00						1
89	2021-03-04	13:10:00						0
90	2021-03-04	15:45:00	4					
91	2021-03-04	17:20:00						1
92	2021-03-04	17:54:00						0
93	2021-03-04	18:30:00	6					
94	2021-03-04	19:40:00				1		
95	2021-03-04	19:50:00		200				
96	2021-03-04	20:00:00						1
97	2021-03-04	20:00:00	22					
98	2021-03-04	20:00:00				1		
99	2021-03-04	20:00:00					1	
100	2021-03-05	06:05:00						0
101	2021-03-05	06:10:00				1		
102	2021-03-05	06:15:00	6					
103	2021-03-05	08:45:00		120				
104	2021-03-05	08:50:00						1
105	2021-03-05	09:30:00						0
106	2021-03-05	10:15:00				1		
107	2021-03-05	11:00:00	5					
108	2021-03-05	11:50:00				1		
109	2021-03-05	11:50:00					1	
110	2021-03-05	12:14:00						1
111	2021-03-05	13:44:00						0
112	2021-03-05	13:47:00						1
113	2021-03-05	13:53:00						0
114	2021-03-05	13:55:00				1		
115	2021-03-05	15:00:00		120				
116	2021-03-05	15:15:00				1		
117	2021-03-05	15:45:00						1
118	2021-03-05	17:15:00						0
119	2021-03-05	17:25:00				1		
120	2021-03-05	19:05:00	6					
121	2021-03-05	19:30:00					1	
122	2021-03-05	19:55:00		200				
123	2021-03-05	20:20:00						1
124	2021-03-05	20:20:00	17					
125	2021-03-05	20:20:00				1		
126	2021-03-05	20:20:00					1	
127	2021-03-06	04:47:00						0
128	2021-03-06	04:50:00						1
129	2021-03-06	06:00:00						0
130	2021-03-06	06:05:00						1
131	2021-03-06	06:15:00						0
132	2021-03-06	06:20:00				1		
133	2021-03-06	06:30:00	6					
134	2021-03-06	08:50:00		120				
135	2021-03-06	09:00:00				1		
136	2021-03-06	09:05:00						1
137	2021-03-06	09:50:00						0
138	2021-03-06	11:10:00	7					
139	2021-03-06	11:40:00				1		
140	2021-03-06	12:15:00						1
141	2021-03-06	12:25:00						0
142	2021-03-06	12:55:00						1
143	2021-03-06	13:45:00						0
144	2021-03-06	13:50:00						1
145	2021-03-06	14:25:00						0
146	2021-03-06	15:00:00				1		
147	2021-03-06	15:35:00		120				
148	2021-03-06	17:30:00				1		
149	2021-03-06	18:05:00						1
150	2021-03-06	18:30:00						0
151	2021-03-06	18:55:00	6					
152	2021-03-06	20:05:00		200				
153	2021-03-06	20:16:00						1
154	2021-03-06	20:16:00	18					
155	2021-03-06	20:16:00				1		
156	2021-03-06	20:16:00					1	
157	2021-03-07	06:35:00						0
158	2021-03-07	06:45:00				1		
159	2021-03-07	06:50:00	7					
160	2021-03-07	08:50:00		80				
161	2021-03-07	08:50:00				1		
162	2021-03-07	09:00:00						1
163	2021-03-07	09:45:00						0
164	2021-03-07	10:40:00				1		
165	2021-03-07	11:30:00	5					
166	2021-03-07	11:40:00				1		
167	2021-03-07	13:20:00				1		
168	2021-03-07	13:29:00						1
169	2021-03-07	14:45:00						0
170	2021-03-07	15:00:00		120				
171	2021-03-07	16:45:00						1
172	2021-03-07	17:25:00						0
173	2021-03-07	17:25:00				1		
174	2021-03-07	18:45:00	5					
175	2021-03-07	19:30:00				1		
176	2021-03-07	19:35:00		200				
177	2021-03-07	19:47:00						1
178	2021-03-07	19:47:00	16					
179	2021-03-07	19:47:00				1		
180	2021-03-07	19:47:00					1	
181	2021-03-08	06:20:00						0
182	2021-03-08	06:20:00				1		
183	2021-03-08	06:25:00	6					
184	2021-03-08	08:50:00		80				
185	2021-03-08	08:55:00						1
186	2021-03-08	09:35:00						0
187	2021-03-08	09:40:00				1		
188	2021-03-08	11:30:00	4					
189	2021-03-08	11:59:00						1
190	2021-03-08	13:25:00						0
191	2021-03-08	14:30:00		120				
192	2021-03-08	14:35:00				1		
193	2021-03-08	16:58:00						1
194	2021-03-08	17:40:00						0
195	2021-03-08	18:25:00	4					
196	2021-03-08	19:44:00		200				
197	2021-03-08	20:04:00						1
198	2021-03-08	20:04:00	14					
199	2021-03-08	20:04:00				1		
200	2021-03-08	20:04:00					1	
201	2021-03-09	06:10:00						0
202	2021-03-09	06:15:00	6					
203	2021-03-09	06:15:00				1		
204	2021-03-09	09:09:00		80				
205	2021-03-09	09:15:00				1		
206	2021-03-09	09:30:00						1
207	2021-03-09	10:20:00						0
208	2021-03-09	10:55:00	7					
209	2021-03-09	12:00:00				1		
210	2021-03-09	12:35:00						1
211	2021-03-09	13:13:00						0
212	2021-03-09	13:17:00						1
213	2021-03-09	13:21:00						0
214	2021-03-09	13:30:00				1		
215	2021-03-09	15:00:00		120				
216	2021-03-09	17:00:00						1
217	2021-03-09	17:35:00						0
218	2021-03-09	17:55:00	5					
219	2021-03-09	18:10:00				1		
220	2021-03-09	19:55:00		200				
221	2021-03-09	20:10:00						1
222	2021-03-09	20:10:00	19					
223	2021-03-09	20:10:00				1		
224	2021-03-09	20:10:00					1	
225	2021-03-10	04:50:00						0
226	2021-03-10	04:55:00						1
227	2021-03-10	06:00:00						0
228	2021-03-10	06:05:00				1		
229	2021-03-10	06:15:00	8					
230	2021-03-10	07:55:00						1
231	2021-03-10	08:10:00						0
232	2021-03-10	08:50:00		120				
233	2021-03-10	09:30:00				1		
234	2021-03-10	09:50:00						1
235	2021-03-10	10:20:00						0
236	2021-03-10	11:55:00	6					
237	2021-03-10	13:10:00				1		
238	2021-03-10	13:10:00					1	
239	2021-03-10	13:20:00						1
240	2021-03-10	13:50:00						0
241	2021-03-10	15:15:00				1		
242	2021-03-10	15:20:00						1
243	2021-03-10	16:55:00						0
244	2021-03-10	17:10:00		120				
245	2021-03-10	20:10:00				1		
246	2021-03-10	20:15:00		200				
247	2021-03-10	20:25:00						1
248	2021-03-10	20:25:00	15					
249	2021-03-10	20:25:00				1		
250	2021-03-10	20:25:00					1	
251	2021-03-11	04:40:00						0
252	2021-03-11	05:05:00				1		
253	2021-03-11	05:05:00	7					
254	2021-03-11	05:15:00						1
255	2021-03-11	05:20:00						0
256	2021-03-11	05:35:00						1
257	2021-03-11	06:45:00						0
258	2021-03-11	08:00:00				1		
259	2021-03-11	08:00:00					1	
260	2021-03-11	08:45:00						1
261	2021-03-11	09:30:00						0
262	2021-03-11	09:50:00				1		
263	2021-03-11	09:55:00		80				
264	2021-03-11	11:20:00						1
265	2021-03-11	11:44:00						0
266	2021-03-11	13:15:00				1		
267	2021-03-11	13:15:00	4					
268	2021-03-11	13:25:00						1
269	2021-03-11	14:45:00						0
270	2021-03-11	14:50:00				1		
271	2021-03-11	15:05:00		120				
272	2021-03-11	16:00:00					1	
273	2021-03-11	16:25:00						1
274	2021-03-11	17:10:00						0
275	2021-03-11	18:05:00	6					
276	2021-03-11	19:30:00				1		
277	2021-03-11	19:35:00		200				
278	2021-03-11	19:45:00						1
279	2021-03-11	19:45:00	17					
280	2021-03-11	19:45:00				1		
281	2021-03-11	19:45:00					1	
282	2021-03-12	05:25:00						0
283	2021-03-12	06:10:00				1		
284	2021-03-12	06:15:00	4					
285	2021-03-12	07:45:00				1		
286	2021-03-12	08:07:00						1
287	2021-03-12	08:40:00						0
288	2021-03-12	09:00:00		80				
289	2021-03-12	11:00:00				1		
290	2021-03-12	11:00:00		80				
291	2021-03-12	11:05:00						1
292	2021-03-12	13:25:00						0
293	2021-03-12	13:30:00				1		
294	2021-03-12	14:10:00				1		
295	2021-03-12	15:00:00		120				
296	2021-03-12	16:05:00						1
297	2021-03-12	16:40:00						0
298	2021-03-12	17:20:00				1		
299	2021-03-12	18:05:00	7					
300	2021-03-12	19:35:00				1		
301	2021-03-12	19:45:00		200				
302	2021-03-12	19:55:00						1
303	2021-03-12	19:55:00	11					
304	2021-03-12	19:55:00				1		
305	2021-03-12	19:55:00					1	
306	2021-03-13	05:50:00						0
307	2021-03-13	06:05:00				1		
308	2021-03-13	06:10:00	10					
309	2021-03-13	08:30:00				1		
310	2021-03-13	08:55:00		80				
311	2021-03-13	09:00:00				1		
312	2021-03-13	09:05:00						1
313	2021-03-13	09:45:00						0
314	2021-03-13	11:00:00		80				
315	2021-03-13	11:30:00					1	
316	2021-03-13	12:05:00						1
317	2021-03-13	13:30:00						0
318	2021-03-13	13:40:00				1		
319	2021-03-13	15:00:00		120				
320	2021-03-13	15:30:00				1		
321	2021-03-13	15:45:00						1
322	2021-03-13	17:05:00						0
323	2021-03-13	17:20:00				1		
324	2021-03-13	17:35:00	7					
325	2021-03-13	19:35:00		200				
326	2021-03-13	19:44:00						1
327	2021-03-13	19:44:00	17					
328	2021-03-13	19:44:00				1		
329	2021-03-13	19:44:00					1	
330	2021-03-14	05:45:00					1	
331	2021-03-14	05:45:00						0
332	2021-03-14	05:45:00				1		
333	2021-03-14	05:50:00	6					
334	2021-03-14	08:30:00						1
335	2021-03-14	09:15:00						0
336	2021-03-14	11:35:00		80				
337	2021-03-14	12:25:00				1		
338	2021-03-14	12:35:00						1
339	2021-03-14	13:05:00						0
340	2021-03-14	14:40:00				1		
341	2021-03-14	14:50:00						1
342	2021-03-14	15:25:00						0
343	2021-03-14	15:55:00		120				
344	2021-03-14	17:35:00						1
345	2021-03-14	18:10:00						0
346	2021-03-14	18:30:00		80				
347	2021-03-14	19:20:00				1		
348	2021-03-14	19:39:00		200				
349	2021-03-14	19:45:00						1
350	2021-03-14	19:45:00	6					
351	2021-03-14	19:45:00				1		
352	2021-03-14	19:45:00					1	
353	2021-03-15	05:00:00						0
354	2021-03-15	05:30:00				1		
355	2021-03-15	05:30:00					1	
