	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before
0	2020-12-01 02:30:00	2	170.0	7.0	10.0	0	0	10.0	0
1	2020-12-01 06:00:00	6	60.0	17.0	30.0	0	0	30.0	30.0
2	2020-12-01 09:25:00	9	5.0	7.0	85.0	0	0	130.0	130.0
3	2020-12-01 09:35:00	9	50.0	7.0	95.0	0	0	140.0	140.0
4	2020-12-01 11:45:00	11	10.0	7.0	225.0	0	0	55.0	55.0
5	2020-12-01 13:55:00	13	85.0	12.0	100.0	0	0	60.0	185.0
6	2020-12-01 17:45:00	17	35.0	7.0	125.0	0	0	85.0	415.0
7	2020-12-01 20:35:00	20	223.0	59.0	0.0	120.0	40.0	0.0	0.0
8	2020-12-02 00:40:00	0	165.0	13.0	15.0	120.0	285.0	245.0	245.0
9	2020-12-02 04:00:00	4	170.0	16.0	15.0	120.0	485.0	35.0	445.0
10	2020-12-02 09:35:00	9	75.0	7.0	65.0	120.0	820.0	45.0	130.0
11	2020-12-02 14:30:00	14	25.0	8.0	140.0	120.0	1115.0	130.0	425.0
12	2020-12-02 16:20:00	16	45.0	16.0	60.0	120.0	1225.0	80.0	80.0
13	2020-12-02 20:25:00	20	95.0	5.0	35.0	80.0	40.0	55.0	325.0
14	2020-12-02 22:20:00	22	215.0	87.0	0.0	80.0	155.0	0.0	0.0
15	2020-12-03 02:30:00	2	110.0	87.0	250.0	80.0	405.0	30.0	250.0
16	2020-12-03 04:35:00	4	110.0	8.0	10.0	80.0	530.0	155.0	375.0
17	2020-12-03 06:35:00	6	40.0	8.0	130.0	80.0	650.0	275.0	495.0
18	2020-12-03 09:35:00	9	50.0	7.0	95.0	80.0	830.0	110.0	70.0
19	2020-12-03 13:35:00	13	30.0	18.0	125.0	80.0	1070.0	25.0	310.0
20	2020-12-03 15:50:00	15	30.0	12.0	20.0	80.0	1205.0	95.0	445.0
21	2020-12-03 19:55:00	19	40.0	7.0	25.0	80.0	30.0	60.0	690.0
22	2020-12-03 20:40:00	20	15.0	7.0	70.0	80.0	75.0	105.0	735.0
23	2020-12-03 20:55:00	20	371.0	64.0	0.0	80.0	90.0	0.0	0.0
24	2020-12-04 04:25:00	4	150.0	9.0	60.0	80.0	540.0	450.0	450.0
25	2020-12-04 09:25:00	9	40.0	9.0	55.0	80.0	840.0	25.0	750.0
26	2020-12-04 11:55:00	11	50.0	7.0	25.0	80.0	990.0	35.0	900.0
27	2020-12-04 13:55:00	13	60.0	7.0	145.0	80.0	1110.0	155.0	1020.0
28	2020-12-04 16:30:00	16	60.0	10.0	75.0	80.0	1265.0	80.0	1175.0
29	2020-12-04 20:15:00	20	40.0	9.0	25.0	80.0	30.0	40.0	135.0
30	2020-12-04 21:00:00	21	60.0	9.0	70.0	80.0	75.0	85.0	180.0
31	2020-12-04 22:00:00	22	46.0	9.0	130.0	80.0	135.0	145.0	240.0
32	2020-12-04 23:00:00	23	275.0	9.0	190.0	80.0	195.0	205.0	300.0
33	2020-12-05 04:20:00	4	105.0	9.0	40.0	80.0	515.0	30.0	310.0
34	2020-12-05 06:15:00	6	80.0	9.0	155.0	80.0	630.0	145.0	425.0
35	2020-12-05 10:35:00	10	10.0	10.0	155.0	80.0	890.0	405.0	685.0
36	2020-12-05 10:50:00	10	15.0	10.0	170.0	80.0	905.0	420.0	700.0
37	2020-12-05 11:10:00	11	85.0	10.0	190.0	80.0	925.0	440.0	720.0
38	2020-12-05 14:20:00	14	20.0	9.0	100.0	80.0	1115.0	100.0	910.0
39	2020-12-05 15:20:00	15	45.0	12.0	15.0	80.0	1175.0	25.0	970.0
40	2020-12-05 19:15:00	19	30.0	9.0	75.0	80.0	10.0	45.0	45.0
41	2020-12-05 21:00:00	21	200.0	56.0	0.0	80.0	115.0	0.0	0.0
42	2020-12-06 00:20:00	0	50.0	56.0	200.0	80.0	315.0	200.0	200.0
43	2020-12-06 02:00:00	2	240.0	9.0	25.0	80.0	415.0	45.0	300.0
44	2020-12-06 06:05:00	6	40.0	9.0	270.0	80.0	660.0	290.0	545.0
45	2020-12-06 08:45:00	8	110.0	12.0	90.0	80.0	820.0	90.0	705.0
46	2020-12-06 13:20:00	13	30.0	7.0	90.0	80.0	1095.0	35.0	165.0
47	2020-12-06 14:55:00	14	30.0	7.0	185.0	80.0	1190.0	25.0	260.0
48	2020-12-06 17:45:00	17	30.0	12.0	110.0	80.0	1360.0	15.0	15.0
49	2020-12-06 20:25:00	20	285.0	53.0	0.0	80.0	45.0	0.0	0.0
50	2020-12-07 02:05:00	2	10.0	8.0	55.0	80.0	385.0	35.0	340.0
51	2020-12-07 03:00:00	3	285.0	8.0	110.0	80.0	440.0	90.0	395.0
52	2020-12-07 09:15:00	9	35.0	9.0	90.0	80.0	815.0	90.0	60.0
53	2020-12-07 11:00:00	11	40.0	9.0	195.0	80.0	920.0	195.0	165.0
54	2020-12-07 14:00:00	14	50.0	9.0	140.0	80.0	1100.0	95.0	345.0
55	2020-12-07 16:35:00	16	115.0	11.0	85.0	80.0	1255.0	55.0	55.0
56	2020-12-07 20:55:00	20	115.0	10.0	40.0	80.0	30.0	55.0	315.0
57	2020-12-07 23:20:00	23	5.0	10.0	185.0	80.0	175.0	200.0	460.0
58	2020-12-08 00:55:00	0	20.0	56.0	60.0	80.0	270.0	60.0	60.0
59	2020-12-08 01:30:00	1	165.0	9.0	10.0	80.0	305.0	95.0	95.0
60	2020-12-08 04:25:00	4	10.0	9.0	185.0	80.0	480.0	270.0	270.0
61	2020-12-08 05:05:00	5	115.0	9.0	225.0	80.0	520.0	310.0	310.0
62	2020-12-08 07:20:00	7	20.0	15.0	20.0	80.0	655.0	445.0	445.0
63	2020-12-08 09:10:00	9	40.0	15.0	130.0	80.0	765.0	40.0	40.0
64	2020-12-08 11:35:00	11	52.0	9.0	70.0	80.0	910.0	5.0	185.0
65	2020-12-08 13:10:00	13	45.0	9.0	165.0	80.0	1005.0	25.0	280.0
66	2020-12-08 15:25:00	15	50.0	9.0	85.0	80.0	1140.0	40.0	40.0
67	2020-12-08 16:55:00	16	80.0	9.0	175.0	80.0	1230.0	30.0	130.0
68	2020-12-08 20:45:00	20	95.0	6.0	55.0	160.0	45.0	70.0	360.0
69	2020-12-08 22:30:00	22	45.0	6.0	160.0	160.0	150.0	175.0	465.0
70	2020-12-08 23:20:00	23	85.0	61.0	0.0	160.0	200.0	0.0	0.0
71	2020-12-09 00:50:00	0	35.0	61.0	90.0	160.0	290.0	90.0	90.0
72	2020-12-09 03:45:00	3	99.0	22.0	140.0	160.0	465.0	140.0	265.0
73	2020-12-09 05:40:00	5	90.0	22.0	255.0	160.0	580.0	255.0	380.0
74	2020-12-09 09:10:00	9	45.0	9.0	10.0	160.0	790.0	95.0	95.0
75	2020-12-09 12:20:00	12	90.0	8.0	50.0	160.0	980.0	40.0	285.0
76	2020-12-09 16:35:00	16	25.0	6.0	115.0	160.0	1235.0	95.0	540.0
77	2020-12-09 20:20:00	20	95.0	5.0	30.0	160.0	25.0	50.0	130.0
78	2020-12-09 22:00:00	22	90.0	5.0	130.0	160.0	125.0	150.0	230.0
79	2020-12-09 23:35:00	23	185.0	78.0	0.0	160.0	220.0	0.0	0.0
80	2020-12-10 03:15:00	3	120.0	22.0	30.0	160.0	440.0	30.0	220.0
81	2020-12-10 05:30:00	5	60.0	22.0	165.0	160.0	575.0	165.0	355.0
82	2020-12-10 09:15:00	9	40.0	5.0	50.0	160.0	800.0	15.0	105.0
83	2020-12-10 11:35:00	11	20.0	5.0	190.0	160.0	940.0	60.0	245.0
84	2020-12-10 14:15:00	14	5.0	12.0	120.0	160.0	1100.0	30.0	405.0
85	2020-12-10 14:25:00	14	25.0	12.0	130.0	160.0	1110.0	40.0	415.0
86	2020-12-10 15:15:00	15	145.0	9.0	10.0	160.0	1160.0	90.0	465.0
87	2020-12-10 20:35:00	20	515.0	71.0	0.0	160.0	25.0	0.0	0.0
88	2020-12-11 05:30:00	5	20.0	12.0	15.0	160.0	560.0	15.0	535.0
89	2020-12-11 06:30:00	6	120.0	12.0	75.0	160.0	620.0	75.0	595.0
90	2020-12-11 10:10:00	10	75.0	12.0	75.0	160.0	840.0	85.0	815.0
91	2020-12-11 13:40:00	13	35.0	12.0	100.0	160.0	1050.0	75.0	1025.0
92	2020-12-11 15:15:00	15	95.0	6.0	20.0	160.0	1145.0	55.0	1120.0
93	2020-12-11 21:05:00	21	126.0	5.0	35.0	160.0	30.0	130.0	1470.0
94	2020-12-11 23:35:00	23	5.0	5.0	185.0	160.0	180.0	10.0	1620.0
95	2020-12-11 23:50:00	23	17.0	61.0	0.0	160.0	195.0	0.0	0.0
96	2020-12-12 00:35:00	0	235.0	61.0	45.0	160.0	240.0	45.0	45.0
97	2020-12-12 05:40:00	5	165.0	22.0	65.0	160.0	545.0	15.0	15.0
98	2020-12-12 10:35:00	10	40.0	9.0	125.0	160.0	840.0	60.0	310.0
99	2020-12-12 12:50:00	12	50.0	8.0	65.0	160.0	975.0	90.0	445.0
100	2020-12-12 14:50:00	14	30.0	8.0	185.0	160.0	1095.0	60.0	60.0
101	2020-12-12 17:00:00	17	20.0	8.0	315.0	160.0	1225.0	60.0	190.0
102	2020-12-12 20:00:00	20	35.0	6.0	10.0	160.0	5.0	20.0	370.0
103	2020-12-12 20:40:00	20	95.0	6.0	50.0	160.0	45.0	60.0	410.0
104	2020-12-12 22:20:00	22	385.0	51.0	0.0	160.0	145.0	0.0	0.0
105	2020-12-13 05:10:00	5	165.0	16.0	20.0	160.0	555.0	10.0	410.0
106	2020-12-13 10:05:00	10	30.0	6.0	95.0	160.0	850.0	110.0	110.0
107	2020-12-13 11:45:00	11	35.0	6.0	195.0	160.0	950.0	45.0	210.0
108	2020-12-13 14:40:00	14	45.0	4.0	5.0	160.0	1125.0	20.0	385.0
109	2020-12-13 16:25:00	16	95.0	4.0	110.0	160.0	1230.0	60.0	490.0
110	2020-12-13 20:50:00	20	205.0	52.0	0.0	160.0	70.0	0.0	0.0
111	2020-12-14 01:10:00	1	15.0	52.0	260.0	160.0	330.0	35.0	260.0
112	2020-12-14 02:50:00	2	270.0	52.0	360.0	120.0	80.0	135.0	50.0
113	2020-12-14 09:10:00	9	100.0	8.0	30.0	120.0	460.0	70.0	70.0
114	2020-12-14 13:15:00	13	30.0	7.0	80.0	120.0	705.0	10.0	315.0
115	2020-12-14 14:00:00	14	50.0	7.0	125.0	120.0	750.0	55.0	360.0
116	2020-12-14 16:50:00	16	35.0	11.0	85.0	120.0	920.0	55.0	530.0
117	2020-12-14 20:20:00	20	130.0	5.0	30.0	160.0	25.0	60.0	740.0
118	2020-12-14 22:35:00	22	55.0	5.0	165.0	160.0	160.0	195.0	875.0
119	2020-12-14 23:35:00	23	25.0	52.0	0.0	160.0	220.0	0.0	0.0
120	2020-12-15 00:20:00	0	160.0	52.0	45.0	160.0	265.0	15.0	15.0
121	2020-12-15 03:35:00	3	205.0	7.0	20.0	160.0	460.0	210.0	210.0
122	2020-12-15 09:05:00	9	110.0	5.0	25.0	160.0	790.0	125.0	540.0
123	2020-12-15 14:05:00	14	15.0	7.0	115.0	160.0	1090.0	140.0	840.0
124	2020-12-15 16:15:00	16	75.0	9.0	85.0	160.0	1220.0	65.0	970.0
125	2020-12-15 20:40:00	20	360.0	64.0	0.0	160.0	30.0	0.0	0.0
126	2020-12-16 03:05:00	3	205.0	10.0	20.0	160.0	415.0	20.0	385.0
127	2020-12-16 06:35:00	6	40.0	10.0	230.0	160.0	625.0	230.0	595.0
128	2020-12-16 09:20:00	9	40.0	12.0	110.0	160.0	790.0	110.0	760.0
129	2020-12-16 12:55:00	12	45.0	10.0	110.0	160.0	1005.0	45.0	975.0
130	2020-12-16 15:05:00	15	45.0	9.0	25.0	160.0	1135.0	35.0	1105.0
131	2020-12-16 20:00:00	20	135.0	4.0	15.0	160.0	5.0	230.0	1400.0
