	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before	last_wake_minutes
0	2020-08-01 07:35:00	7	45.0	25.0	30.0	0	0	30.0	0	30.0
1	2020-08-01 09:50:00	9	65.0	19.0	60.0	0	0	80.0	0	90.0
2	2020-08-01 12:35:00	12	65.0	14.0	55.0	0	0	55.0	0	100.0
3	2020-08-01 15:40:00	15	35.0	14.0	105.0	0	0	115.0	35.0	120.0
4	2020-08-01 17:10:00	17	280.0	11.0	55.0	0	0	55.0	125.0	55.0
6	2020-08-02 09:15:00	9	20.0	12.0	15.0	0	0	140.0	565.0	140.0
7	2020-08-02 09:45:00	9	25.0	12.0	45.0	0	0	170.0	595.0	10.0
8	2020-08-02 10:35:00	10	40.0	12.0	95.0	0	0	25.0	645.0	25.0
9	2020-08-02 11:35:00	11	75.0	13.0	15.0	0	0	15.0	705.0	20.0
10	2020-08-02 15:00:00	15	175.0	10.0	85.0	0	0	95.0	910.0	130.0
14	2020-08-03 06:45:00	6	80.0	16.0	20.0	0	0	20.0	200.0	20.0
15	2020-08-03 09:20:00	9	25.0	14.0	25.0	0	0	30.0	355.0	75.0
16	2020-08-03 10:10:00	10	15.0	13.0	15.0	0	0	15.0	15.0	25.0
17	2020-08-03 10:50:00	10	60.0	15.0	15.0	0	0	55.0	55.0	25.0
18	2020-08-03 12:05:00	12	75.0	9.0	10.0	0	0	10.0	130.0	15.0
19	2020-08-03 14:20:00	14	20.0	12.0	60.0	0	0	60.0	265.0	60.0
20	2020-08-03 15:50:00	15	75.0	16.0	20.0	0	0	50.0	50.0	70.0
21	2020-08-03 17:25:00	17	120.0	18.0	20.0	0	0	20.0	145.0	20.0
25	2020-08-04 10:15:00	10	45.0	9.0	30.0	40.0	450.0	30.0	390.0	90.0
26	2020-08-04 13:10:00	13	30.0	14.0	15.0	40.0	625.0	45.0	565.0	130.0
27	2020-08-04 13:50:00	13	225.0	14.0	55.0	40.0	665.0	10.0	605.0	10.0
28	2020-08-04 17:50:00	17	65.0	16.0	15.0	40.0	905.0	15.0	845.0	15.0
31	2020-08-05 06:10:00	6	50.0	16.0	35.0	40.0	1645.0	35.0	595.0	35.0
32	2020-08-05 08:25:00	8	5.0	22.0	35.0	40.0	1780.0	35.0	730.0	85.0
33	2020-08-05 12:15:00	12	60.0	11.0	95.0	40.0	2010.0	25.0	25.0	225.0
34	2020-08-05 14:35:00	14	10.0	22.0	80.0	40.0	2150.0	165.0	165.0	80.0
35	2020-08-05 16:10:00	16	30.0	18.0	20.0	40.0	2245.0	260.0	260.0	85.0
36	2020-08-05 17:20:00	17	215.0	12.0	15.0	40.0	2315.0	30.0	330.0	40.0
40	2020-08-06 11:35:00	11	15.0	18.0	85.0	60.0	725.0	110.0	20.0	235.0
41	2020-08-06 12:00:00	12	110.0	18.0	110.0	60.0	750.0	135.0	45.0	10.0
42	2020-08-06 14:05:00	14	80.0	15.0	15.0	60.0	875.0	15.0	170.0	15.0
43	2020-08-06 16:00:00	16	25.0	27.0	35.0	60.0	990.0	130.0	285.0	35.0
46	2020-08-07 07:05:00	7	75.0	10.0	10.0	60.0	1895.0	285.0	615.0	60.0
